City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
153,Angoche,MZ,2022-04-04 18:35:43,-16.2325,39.9086,78.78,70,3,7.61
154,Codrington,AU,2022-04-04 18:35:44,-38.2667,141.9667,51.15,86,100,2.64
155,Bubaque,GW,2022-04-04 18:35:44,11.2833,-15.8333,76.06,73,9,23.29
156,Ostersund,SE,2022-04-04 18:31:43,63.1792,14.6357,27.05,80,20,9.22
157,Talcahuano,CL,2022-04-04 18:35:29,-36.7167,-73.1167,60.6,61,6,14.56
158,Ordzhonikidze,KZ,2022-04-04 18:35:44,52.4411,61.7408,38.53,92,100,8.5
159,Yelizovo,RU,2022-04-04 18:35:45,53.1873,158.3805,23.14,67,0,7.0
160,Nanakuli,US,2022-04-04 18:35:45,21.3906,-158.1547,76.6,64,20,4.61
161,Camacha,PT,2022-04-04 18:34:37,33.0833,-16.3333,54.82,62,40,20.71
162,Ancud,CL,2022-04-04 18:35:46,-41.8697,-73.8203,55.22,86,100,11.1
163,Chuy,UY,2022-04-04 18:35:46,-33.6971,-53.4616,66.6,53,61,12.15
164,Ketchikan,US,2022-04-04 18:31:43,55.3422,-131.6461,43.27,56,0,8.05
165,Naze,JP,2022-04-04 18:35:46,28.3667,129.4833,50.92,55,0,5.19
166,Maun,BW,2022-04-04 18:35:47,-19.9833,23.4167,69.76,100,0,3.44
167,Udachnyy,RU,2022-04-04 18:35:47,66.4167,112.4,0.45,84,100,4.29
168,Berlevag,NO,2022-04-04 18:34:05,70.8578,29.0864,19.2,68,98,10.96
169,Kangaatsiaq,GL,2022-04-04 18:35:48,68.3065,-53.4641,31.35,84,14,5.1
170,Santa Ana,US,2022-04-04 18:35:48,33.7456,-117.8678,68.79,65,75,3.44
171,Tongren,CN,2022-04-04 18:35:48,27.7172,109.1853,56.98,89,100,2.62
172,Awbari,LY,2022-04-04 18:35:49,26.5921,12.7805,84.51,7,0,3.38
173,Pangnirtung,CA,2022-04-04 18:35:48,66.1451,-65.7125,15.8,79,75,10.36
174,Ratnagiri,IN,2022-04-04 18:35:49,16.9833,73.3,80.87,79,85,6.11
175,Ponta Do Sol,PT,2022-04-04 18:35:50,32.6667,-17.1,59.72,66,37,12.55
176,Porto Velho,BR,2022-04-04 18:35:50,-8.7619,-63.9039,89.65,55,40,3.44
