City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
610,Anloga,GH,5.7947,0.8973,85.98,71,23,12.93,few clouds
611,Copiapo,CL,-27.3667,-70.3333,58.69,12,0,6.58,clear sky
612,Oyon,PE,-10.6681,-76.7731,56.12,59,57,6.2,broken clouds
613,Kongolo,CD,-5.3833,27.0,77.23,89,79,2.91,light rain
614,Itigi,TZ,-5.7,34.4833,74.95,61,23,4.34,few clouds
615,Bubaque,GW,11.2833,-15.8333,77.32,70,99,12.64,overcast clouds
616,Beruwala,LK,6.4788,79.9828,80.2,81,100,2.51,moderate rain
617,Minnedosa,CA,50.2453,-99.8436,32.56,84,95,20.49,overcast clouds
618,Lucapa,AO,-8.4192,20.7447,80.42,71,79,2.46,broken clouds
619,Hay River,CA,60.8156,-115.7999,26.58,59,75,5.75,broken clouds
620,Vigrestad,NO,58.5667,5.7,44.28,58,100,16.53,overcast clouds
621,Winona,US,43.9666,-91.7668,36.32,93,100,13.8,light snow
622,Te Anau,NZ,-45.4167,167.7167,43.92,82,66,2.15,broken clouds
623,Mana,GF,5.6592,-53.7767,79.68,84,37,9.24,scattered clouds
624,Hobyo,SO,5.3505,48.5268,84.22,66,9,10.76,clear sky
625,Road Town,VG,18.4167,-64.6167,82.44,69,40,9.22,scattered clouds
626,Mackay,AU,-21.15,149.2,78.78,78,40,16.11,scattered clouds
627,Dombasle-Sur-Meurthe,FR,48.6252,6.3497,54.81,87,75,21.85,moderate rain
628,Koshurnikovo,RU,54.1667,93.3,26.69,95,12,2.77,few clouds
629,Toamasina,MG,-18.1667,49.3833,77.85,89,5,6.6,moderate rain
630,Ussel,FR,45.55,2.3167,46.78,98,100,11.56,light rain
631,Hirna,ET,9.2167,41.1,74.93,30,100,5.37,overcast clouds
632,Lere,NG,10.387,8.5726,103.68,9,13,10.07,few clouds
633,Batticaloa,LK,7.7102,81.6924,82.04,77,90,7.18,overcast clouds
634,Rawson,AR,-43.3002,-65.1023,55.89,79,100,14.27,light rain
635,North Platte,US,41.1239,-100.7654,41.11,55,100,31.0,overcast clouds
636,Nago,JP,26.5881,127.9761,65.25,67,87,11.68,overcast clouds
637,Wairoa,NZ,-39.0333,177.3667,46.54,89,49,1.99,scattered clouds
638,Kerrville,US,30.0474,-99.1403,61.56,22,0,10.36,clear sky
639,Ereymentau,KZ,51.6199,73.1033,43.81,63,100,6.69,overcast clouds
640,Talcahuano,CL,-36.7167,-73.1167,56.88,100,100,3.44,mist
641,Northam,GB,51.0333,-4.2167,51.66,75,14,26.15,few clouds
642,Lusambo,CD,-4.9667,23.45,88.48,49,59,1.79,broken clouds
643,Inowroclaw,PL,52.7989,18.2639,60.55,79,71,5.99,broken clouds
644,Lady Frere,ZA,-31.7031,27.2329,61.75,33,20,13.6,few clouds
645,Jackson,US,42.4165,-122.8345,42.67,81,0,0.0,clear sky
646,Tateyama,JP,34.9833,139.8667,62.1,75,0,20.89,clear sky
647,Okhansk,RU,57.7186,55.3877,37.47,89,65,11.56,broken clouds
648,Qaqortoq,GL,60.7167,-46.0333,32.02,81,100,4.99,overcast clouds
649,Newport,GB,51.5877,-2.9984,53.69,75,30,1.01,light rain
650,Pinheiro,BR,-2.5214,-45.0825,78.35,91,92,2.73,light rain
651,Cowra,AU,-33.8333,148.6833,59.95,87,100,14.14,light rain
652,Kloulklubed,PW,7.0419,134.2556,75.7,87,100,8.34,light rain
653,Salina Cruz,MX,16.1667,-95.2,82.29,63,98,7.43,overcast clouds
654,Gamba,GA,-2.65,10.0,83.41,73,91,11.25,overcast clouds
655,Shobara,JP,34.85,133.0167,46.58,94,0,1.59,clear sky
656,Molnlycke,SE,57.6589,12.1179,43.75,95,100,10.36,overcast clouds
657,Nouadhibou,MR,20.931,-17.0347,84.18,20,0,24.16,sand
658,Zhanaozen,KZ,43.3,52.8,60.89,40,100,12.57,overcast clouds
659,Mega,ET,4.05,38.3,71.11,43,100,13.31,overcast clouds
660,Tabou,CI,4.423,-7.3528,84.43,69,100,7.52,overcast clouds
661,Lixourion,GR,38.2019,20.4314,66.2,77,20,9.22,few clouds
662,Caravelas,BR,-17.7125,-39.2481,81.19,78,48,4.88,scattered clouds
663,Buala,SB,-8.145,159.5921,80.11,82,100,6.04,light rain
664,Alzamay,RU,55.5562,98.6644,32.38,88,20,6.98,few clouds
665,Chakradharpur,IN,22.7,85.6333,88.3,10,1,2.71,clear sky
666,Rio Gallegos,AR,-51.6226,-69.2181,37.45,75,0,2.3,clear sky
667,Olindina,BR,-11.3667,-38.3333,91.4,35,28,8.77,scattered clouds
668,Solton,RU,52.8429,86.4787,33.94,93,90,2.86,overcast clouds
669,Oistins,BB,13.0667,-59.5333,86.09,58,20,19.57,few clouds
670,Makokou,GA,0.5738,12.8642,84.09,61,93,1.12,overcast clouds
671,Marawi,PH,7.9986,124.2928,69.58,96,100,1.41,light rain
672,Kashan,IR,33.9831,51.4364,89.19,5,75,13.8,broken clouds
673,Novobelokatay,RU,55.7062,58.9549,27.03,96,50,3.87,scattered clouds
674,Luau,AO,-10.7073,22.2247,77.23,77,92,2.01,light rain
675,Ise,JP,34.4833,136.7,58.41,72,12,11.83,few clouds
